untitled_report-query_1-21ee01849bcd-2025-07-28-15-14-01
company_id,company_name,account_id,account_name,tier,rep_name,rep_manager
1112,Sharon Heights Golf & Country Club,0011U00000CNAbdQAH,Sharon Heights Golf & Country Club,Tier 3,Mayur Mistry,Alice Dauchez
2905,Starfire Golf Club,0011U00000CMZjyQAH,Starfire Golf Club,Tier 4,Kamel Zeidan,Alice Dauchez
971,Jane,0014X00002YUXXVQA5,Jane,,Mayur Mistry,Alice Dauchez
1047,Tapex,0014X00002YUXGqQAP,Tapex,,Kamel Zeidan,Alice Dauchez
4695,D Squared,0011U000011bDPcQAM,D Squared,Tier 3,Kati Ciraci,Alice Dauchez
4813,Beachside Bakery,0014X00002YUXZOQA5,Beachside Bakery,Tier 3,Amer Awad,Alice Dauchez
2848,Thistle,0011U00001CViPMQA1,Thistle Health Inc.,Tier 2,Mayur Mistry,Alice Dauchez
11504,Restaurant 917 @ The Porsche Experience Center Los Angeles,0011U00000Rya61QAB,Restaurant 917 @ The Porsche Experience Center Los Angeles,Tier 3,Kyle Soekotjo,Alice Dauchez
11537,Club at Ruby Hill,0013t000021agWsAAI,The Club at Ruby Hill,Tier 3,Mayur Mistry,Alice Dauchez
11611,Haute Chefs Los Angeles,0011U00000pUumeQAC,Haute Chefs Los Angeles,Tier 4,Amer Awad,Alice Dauchez
11644,Oakland Marriott City Center,0011U00000wCa62QAC,Oakland Marriott City Center,Tier 3,Bryan Garcia,Jeremy Friedman
11735,Filson,0014X00002YUXftQAH,Filson,Tier 3,Mayur Mistry,Alice Dauchez
13100,Eurest @ Intuit,0011U00000OFppZQAT,Eurest @ Synopsys,Tier 3,Dane Turner,Alice Dauchez
13108,Paperboy Pizza,0011U00000OHy4hQAD,Paperboy Pizza,Tier 4,Kamel Zeidan,Alice Dauchez
13114,3705 Group LLC,0011U00000OIEz2QAH,3705 Group LLC,Tier 4,Kamel Zeidan,Alice Dauchez
13142,Hacienda Golf Club,0014X00002UAGLNQA5,Hacienda Golf Club,Tier 4,Katie Atwater,Alice Dauchez
13182,Encore Event Center,0011U00000ahqj6QAA,Encore Event Center,Tier 4,Kamel Zeidan,Alice Dauchez
13342,Carmel Mountain Ranch Estate,0011U00000CNAQkQAP,Carmel Mountain Ranch Estate - CLOSED,Tier 4,Kamel Zeidan,Alice Dauchez
13429,AZbouncePro,0014X00002YUYZlQAP,AZbouncePro,,Amer Awad,Alice Dauchez
7259,Stanford Dining,0011U000017Qw14QAC,Stanford Residential & Dining Enterprises,Tier 2,Mayur Mistry,Alice Dauchez
13445,Loquacious culinary events,0011U000017RSnXQAW,Loquacious Culinary Events,,Brittney Karlow,Grant Bain
14749,"Evntwrks, LLC",0011U00000DYJm2QAH,Evntwrks,Tier 3,Mayur Mistry,Alice Dauchez
14823,Belvedere & Co. Events,0011U00000dAbr2QAC,Belvedere & Co. Events,Tier 4,Doren Blake,Grant Bain
14883,Kitchens For Good,0011U00000CN2vDQAT,Kitchens For Good,Tier 3,Kamel Zeidan,Alice Dauchez
14928,Locale90,0011U00000CMYOrQAP,Locale90 Catering,Tier 4,Kamel Zeidan,Alice Dauchez
14950,Harper Community College - Sodexo,0011U00000ftf7JQAQ,Harper Community College,Tier 3,Tyler Casella,Grant Bain
14995,Whim Hospitality Camp Lucy,0011U00000lddFUQAY,Whim Hospitality,Tier 2,Benjamin Walsh,Alice Dauchez
15043,Fooda Austin,0011U00000oJ3anQAC,Fooda Austin,Tier 4,Benjamin Walsh,Alice Dauchez
11428,Bel-Air Bay Club,0011U00000n6jy8QAA,Bel Air Bay Club,Tier 3,Katie Atwater,Alice Dauchez
11431,Los Angeles Yacht Club,0011U00000CMYQwQAP,Los Angeles Yacht Club,Tier 4,Kamel Zeidan,Alice Dauchez
11463,Someone's In The Kitchen,0011U00000CMYK8QAP,Someone's in the Kitchen,Tier 4,Kamel Zeidan,Alice Dauchez
11550,LA Spice Catering,0011U00000CMYGxQAP,LA Spice,Tier 4,Kamel Zeidan,Alice Dauchez
11567,Kitchen 12000,0011U00000CMZZ7QAP,Vertigo Event Venue,Tier 4,Kamel Zeidan,Alice Dauchez
11612,Bon Appetit @ Disney,0013t000027aDBwAAM,Bon Appetit - Disney,Tier 2,Amer Awad,Alice Dauchez
11659,Wolfgang Puck Catering - Commissary,0011U00000CMYzTQAX,Wolfgang Puck Catering (Parent),Tier 2,Amer Awad,Alice Dauchez
11792,GoodFellas Taco Catering,0011U00000Dao1iQAB,GoodFellas Taco Catering,Tier 4,Kamel Zeidan,Alice Dauchez
11820,Grandma's House Catering,0011U00000kfThtQAE,Grandma's House Catering,Tier 4,Kamel Zeidan,Alice Dauchez
13187,Lula's Garden,0011U00000pT3FUQA0,Lula's Garden,Tier 3,Katie Atwater,Alice Dauchez
13264,Trattoria Ponte Vecchio,0011U00000pT3FnQAK,Trattoria Ponte Vecchio,Tier 4,Kamel Zeidan,Alice Dauchez
13346,Conceptually Social,0011U00000COBAQQA5,Conceptually Social Catering,Tier 4,Kamel Zeidan,Alice Dauchez
16438,Doug Boster Catering,0011U00000t8zwxQAA,"Doug Boster Catering, Events & Design",Tier 4,Kati Ciraci,Alice Dauchez
14766,Eco Caters -DC,0011U00000e6GwBQAU,Eco Caters - DC,Tier 4,Doren Blake,Grant Bain
14780,B. Lin Catering,0011U00000ahdubQAA,B. Lin Catering,Tier 4,Doren Blake,Grant Bain
14830,Harvest Table University of Redlands,0011U00000fqHxCQAU,University of Redlands - Dining,Tier 3,Dane Turner,Alice Dauchez
14840,CATERING FOR CORPORATE,0011U00000Db5SlQAJ,Catering For Corporate,Tier 4,Kamel Zeidan,Alice Dauchez
16669,Union Square Events,0011U00000t1Ax1QAE,Union Square Events,Tier 3,Morgan Fine,Grant Bain
14969,Rebel Coast,0011U00000n7nNzQAI,Rebel Coast Winery,Tier 4,Kamel Zeidan,Alice Dauchez
15112,Old World German Restaurant,0011U00000NZgVTQA1,Old World European Market,Tier 4,Kamel Zeidan,Alice Dauchez
15164,Tailgate Guys University of Maryland,0011U00000oIzDEQA0,Tailgate Guys - UMD,Tier 4,Doren Blake,Grant Bain
18208,Venetian Expo Business & Exhibit Services,0011U00001BBLiIQAX,Sands Expo Exhibit & Business Services,Tier 3,Nick Armanasco,Jared Gidan
18211,Epic Valet,0011U00001AeI2aQAF,Epic Valet Inc,Tier 3,Kamel Zeidan,Alice Dauchez
